Timestamp,Algorithm,Param_keras_layers,Param_keras_trainable_params,Accuracy,Precision,Recall,F1-Score
2026-07-23 12:05:08,Sequential,3,101770,0.9754,0.9754,0.9754,0.9754
2026-07-23 12:08:05,Sequential,3,101770,0.9769,0.9769,0.9769,0.9769
2026-07-23 12:12:10,Sequential,3,101770,0.9764,0.9764,0.9764,0.9764
2026-07-23 12:14:29,Sequential,4,52650,0.9706,0.9706,0.9706,0.9706
2026-07-23 12:16:56,Sequential,3,50890,0.9735,0.9735,0.9735,0.9735
2026-07-23 12:18:42,Sequential,3,50890,0.9616,0.9616,0.9616,0.9616
2026-07-23 12:19:51,Sequential,4,52650,0.9652,0.9652,0.9652,0.9652
2026-07-23 12:22:06,Sequential,4,52650,0.9707,0.9708,0.9707,0.9707
2026-07-23 12:23:39,Sequential,3,203530,0.9795,0.9796,0.9795,0.9795
2026-07-23 12:25:22,Sequential,4,25818,0.9422,0.9421,0.9422,0.9421
2026-07-23 12:26:51,Sequential,4,25818,0.9537,0.9538,0.9537,0.9537
